id,name,description,price,image,stock,category
1,Traditional Shema,Beautiful handwoven traditional Ethiopian Shema,199.99,../images/g,10,shema
2,Classic Tibeb,Elegant Ethiopian Tibeb with intricate patterns,249.99,../images/tibeb1.jpg,8,tibeb
3,White Netela,Pure white Ethiopian Netela with decorative borders,149.99,../images/Products/White Netela.jpg,15,netela
4,Premium Shema Set,Complete traditional outfit with premium cotton,199.99,https://via.placeholder.com/300x200?text=Premium+Shema+Set,15,shema
5,Decorative Tibeb Runner,Table runner with traditional Ethiopian patterns,59.99,https://via.placeholder.com/300x200?text=Tibeb+Runner,40,tibeb
6,Modern Netela Wrap,Contemporary take on traditional Netela design,89.99,https://via.placeholder.com/300x200?text=Modern+Netela,35,netela
7,Festival Shema,Special occasion Shema with gold threading,149.99,https://via.placeholder.com/300x200?text=Festival+Shema,20,shema
8,Tibeb Cushion Cover,Decorative cushion cover with traditional patterns,29.99,https://via.placeholder.com/300x200?text=Tibeb+Cushion,60,tibeb
9,Children's Netela,Smaller sized Netela for children,49.99,https://via.placeholder.com/300x200?text=Kids+Netela,45,netela
10,Wedding Shema Set,Luxurious Shema set for special ceremonies,299.99,https://via.placeholder.com/300x200?text=Wedding+Shema,10,shema
